"id","name","sequence"
"tax_group_impexe","ImpExe","100"
"tax_group_impgrav","ImpGrav","100"
"tax_group_imponible","Imponible","100"
"tax_group_intermediario","Intermediario","100"
"tax_group_nograiva","NoGraIva","100"
"tax_group_retbien10","RetBien10","100"
"tax_group_retbienes","RetBienes","100"
"tax_group_retiva","RetIva","100"
"tax_group_retserv100","RetServ100","100"
"tax_group_retserv20","RetServ20","100"
"tax_group_retserv50","RetServ50","100"
"tax_group_retservicios","RetServicios","100"
